OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
MONTPELLIER - ST PIERRE DES CORPS;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DAX - PARIS MONTPARNASSE 1 ET 2;25.0;122.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - MASSY TGV;15.0;78.0;112.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - GUINGAMP;20.0;98.0;137.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - REDON;;30.0;44.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
FACTURE BIGANOS - ST PIERRE DES CORPS;20.0;69.0;98.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CHATELLERAULT - TOULOUSE MATABIAU;;73.0;105.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA TESTE - FUTUROSCOPE;;51.0;76.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
STRASBOURG - POITIERS;30.0;146.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - QUIMPER;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - VANNES;25.0;121.0;160.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - ROSPORDEN;25.0;131.0;169.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DAX-DOUAI;30.0;144.0;174.0;
BAYONNE-DOUAI;30.0;144.0;174.0;
LILLE EUROPE-MARSEILLE ST CHARLES;30.0;144.0;184.0;
MODANE-QUIMPER;30.0;147.0;190.0;
QUIMPER-AIX LES BAINS LE REVARD;30.0;147.0;190.0;
CARCASSONNE-ARRAS;30.0;150.0;188.0;
BESANCON VIOTTE-MONTBARD;15.0;43.0;48.0;
CHALON SUR SAONE-NARBONNE;25.0;84.0;124.0;
DIJON VILLE-AGDE;;101.0;134.0;
MACON VILLE-ANTIBES;25.0;107.0;140.0;
MACON VILLE-TOULON;25.0;81.0;109.0;
AVIGNON TGV-NANCY VILLE;25.0;107.0;141.0;
MULHOUSE VILLE-LORRAINE TGV;15.0;54.0;76.0;
LA ROCHELLE VILLE-MARNE LA VALLEE CHESSY;25.0;89.0;123.0;
MARNE LA VALLEE CHESSY-VALENCE TGV;25.0;107.0;147.0;
BEZIERS-AEROPORT CDG 2 TGV ROISSY;25.0;116.0;162.0;
CANNES-PARIS GARE DE LYON;25.0;132.0;185.0;
PARIS GARE DE LYON-AIME LA PLAGNE;25.0;118.0;161.0;
MASSY TGV-AIME LA PLAGNE;25.0;118.0;161.0;
AEROPORT CDG 2 TGV ROISSY-AIME LA PLAGNE;25.0;118.0;161.0;
ST AVRE LA CHAMBRE-PARIS NORD;25.0;109.0;144.0;
PARIS NORD-ST GERVAIS LES BAINS LE FAYET;25.0;119.0;163.0;
MASSY TGV-LE CREUSOT MONTCEAU MONTCHANIN;20.0;82.0;114.0;
MONTBARD-PARIS GARE DE LYON;15.0;57.0;78.0;
PARIS EST-THIONVILLE;20.0;83.0;120.0;
VALENCE TGV-VENTIMIGLIA STAZIONE;20.0;72.0;102.0;
BASEL SBB-MACON VILLE;25.0;69.0;91.0;
BASEL SBB-MARSEILLE ST CHARLES;25.0;130.0;170.0;
VENDOME VILLIERS SUR LOIR-LE CREUSOT MONTCEAU MONTCHANIN;25.0;89.0;124.0;
NANCY VILLE-VENDOME VILLIERS SUR LOIR;25.0;106.0;140.0;
CHAMPAGNE ARDENNE-SAVERNE;20.0;66.0;96.0;
COLMAR-CHAMBERY CHALLES LES EAUX;20.0;92.0;109.0;
COLMAR-BOURG ST MAURICE;25.0;109.0;134.0;
MOUTIERS SALINS BRIDES-BELFORT-MONTBELIARD TGV;25.0;92.0;113.0;
LILLE FLANDRES-AVIGNON;;144.0;180.0;
LANDRY-MASSY PALAISEAU;25.0;118.0;161.0;
MASSY PALAISEAU-AIME LA PLAGNE;25.0;118.0;161.0;
LAVAL-ST MICHEL VALLOIRE;25.0;127.0;166.0;
GRENOBLE-VALENCE TGV;;24.5;33.0;
AIX EN PROVENCE TGV-CHAMBERY CHALLES LES EAUX;25.0;89.0;119.0;
BESANCON VIOTTE-MOUTIERS SALINS BRIDES;;78.0;95.0;
ALBERTVILLE-ALBERTVILLE-LAVAL;25.0;120.0;162.0;
LE POULIGUEN-LA BAULE ESCOUBLAC;;1.6;3.8;
GROISY THORENS LA CAILLE-LA ROCHE SUR FORON;;7.3;10.7;
LE HAVRE-BREAUTE BEUZEVILLE;;7.9;11.4;
QUIMPERLE-ROSPORDEN;;7.9;11.5;
CHAMBERY CHALLES LES EAUX-ST AVRE LA CHAMBRE;;13.7;20.5;
ETAPLES LE TOUQUET-CALAIS FRETHUN;;15.5;23.0;
RENNES-REDON;;16.0;23.0;
MARSEILLE ST CHARLES-TOULON;;16.0;23.5;
AGEN-MONTAUBAN VILLE BOURBON;;16.5;24.0;
CAEN-CARENTAN;;16.5;25.0;
MACON VILLE-LYON PERRACHE;;16.5;23.5;
TOURS-LES AUBRAIS ORLEANS;;24.0;36.0;
JUVISY-LES AUBRAIS ORLEANS;;24.0;37.0;
DAX-LOURDES;;25.0;37.0;
ST BRIEUC-LANDERNEAU;;26.0;38.0;
SAUMUR-NANTES;;26.5;39.0;
NANTES-SABLE;;27.0;40.0;
STRASBOURG-NANCY VILLE;;27.5;43.0;
PLOUARET TREGOR-RENNES;;31.0;44.0;
MARSEILLE BLANCARDE-ST RAPHAEL VALESCURE;;31.0;45.0;
LA ROCHELLE VILLE-CHATELLERAULT;;34.0;48.0;
DIJON VILLE-MONTBELIARD;;34.0;50.0;
BORDEAUX ST JEAN-ORTHEZ;;35.0;50.0;
JUVISY-VIERZON VILLE;15.0;35.0;51.0;
CULMONT CHALINDREY-MACON VILLE;;35.0;55.0;
CARENTAN-EVREUX EMBRANCHEMENT;;37.0;52.0;
ST JEAN DE MAURIENNE ARVAN-LYON PERRACHE;;37.0;52.0;
MACON LOCHE TGV-MOUTIERS SALINS BRIDES;;40.0;61.0;
LE POULIGUEN-SABLE;;39.0;55.0;
LE MANS-ST NAZAIRE;;42.0;62.0;
MACON VILLE-MONTBELIARD;;43.0;63.0;
ANGOULEME-MORCENX;;46.0;67.0;
VALOGNES-MANTES LA J. TGV;;46.0;68.0;
CULMONT CHALINDREY-LYON PART DIEU;20.0;48.0;73.0;
NANCY VILLE-CHALON SUR SAONE;;48.0;77.0;
GRENOBLE-LE CREUSOT MONTCEAU MONTCHANIN;;51.0;77.0;
MONTAUBAN VILLE BOURBON-NARBONNE;;36.0;53.0;
LA TESTE-LIBOURNE;;20.5;30.0;
NICE VILLE-VENTIMIGLIA STAZIONE;;8.3;12.1;
MACON VILLE-AIME LA PLAGNE;;42.0;65.0;
VALOGNES-MASSY PALAISEAU;20.0;52.0;86.0;
CHAMBERY CHALLES LES EAUX-GRENOBLE;;14.3;20.5;
VENDOME-ANGOULEME;;45.0;68.0;
CHAMBERY CHALLES LES EAUX-ST RAPHAEL VALESCURE;25.0;93.0;152.0;
AIX EN PROVENCE TGV-AEROPORT CDG 2 TGV ROISSY;25.0;116.0;162.0;
AVIGNON-MASSY TGV;25.0;116.0;162.0;
LYON ST EXUPERY-MARNE LA VALLEE CHESSY;25.0;97.0;133.0;
MANTES LA J. TGV-LYON PART DIEU;;97.0;133.0;
BESANCON VIOTTE-PARIS GARE DE LYON;20.0;83.0;111.0;
AEROPORT CDG 2 TGV ROISSY-BESANCON FRANCHE-COMTE TGV;20.0;83.0;111.0;
MULHOUSE VILLE-MONTBELIARD;;14.3;21.0;
COLMAR-AIX EN PROVENCE TGV;20.0;124.0;161.0;
THIONVILLE-lyon perrache;25.0;94.0;124.0;
NEUFCHATEAU-BEZIERS;25.0;99.0;129.0;
paris austerlitz-ruffec;20.0;87.0;121.0;
MARNE LA VALLEE CHESSY-POITIERS;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MEUSE-POITIERS;25.0;102.0;133.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-VANNES;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORRAINE TGV-RENNES;25.0;121.0;158.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-QUIMPER;25.0;125.0;161.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD-PARIS MONTPARNASSE 1 ET 2;20.0;73.0;104.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
SURGERES-PARIS MONTPARNASSE 1 ET 2;25.0;89.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
GUINGAMP-MARNE LA VALLEE CHESSY;20.0;88.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-LOURDES;25.0;118.0;156.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LYON PART DIEU-RENNES;25.0;108.0;143.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
TOURS-LIBOURNE;20.0;50.0;74.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-PLOUARET TREGOR;;51.0;75.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-QUIMPERLE;;55.0;81.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY - POITIERS;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
RUFFEC CHARENTE - PARIS MONTPARNASSE 1 ET 2;20.0;93.0;129.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - MARNE LA VALLEE CHESSY;20.0;96.0;133.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - LILLE EUROPE;25.0;120.0;156.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - NANTES;20.0;88.0;127.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
GUINGAMP - AEROPORT CDG2 TGV ROISSY;20.0;98.0;137.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - VANNES;20.0;97.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - ST JEAN DE LUZ CIBOURE;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
EVREUX EMBRANCHEMENT-MANTES LA JOLIE;;20.5;24.5;
CHAMPAGNE ARDENNE-BAR LE DUC;;31.0;43.0;
AIX EN PROVENCE TGV-NIMES;;30.0;44.0;
AEROPORT CDG 2 TGV ROISSY-LISIEUX;15.0;51.0;63.0;
MARSEILLE ST CHARLES-VALENCE;;48.0;70.0;
LILLE EUROPE-PARIS NORD;15.0;63.0;82.0;
DUNKERQUE-MARNE LA VALLEE CHESSY;15.0;66.0;85.0;
PERPIGNAN-VALENCE TGV;20.0;65.0;95.0;
AIX EN PROVENCE TGV-MACON LOCHE TGV;20.0;75.0;100.0;
VALENCE TGV-MONACO MONTE CARLO;20.0;72.0;102.0;
VENDOME VILLIERS SUR LOIR-LILLE EUROPE;25.0;101.0;134.0;
LYON PERRACHE-ST RAPHAEL VALESCURE;25.0;86.0;121.0;
ANGERS ST LAUD-DOUAI;25.0;101.0;127.0;
LILLE FLANDRES-ST PIERRE DES CORPS;25.0;101.0;134.0;
TOURS-LILLE EUROPE;25.0;101.0;134.0;
MARSEILLE ST CHARLES-MONTBELIARD;25.0;106.0;141.0;
AIX EN PROVENCE TGV-MONTBELIARD;25.0;106.0;141.0;
LA ROCHE SUR FORON-PARIS GARE DE LYON;25.0;109.0;150.0;
ARRAS-FUTUROSCOPE;25.0;109.0;143.0;
NEUFCHATEAU-TOULON;25.0;105.0;150.0;
LE MANS-VALENCE TGV;25.0;113.0;148.0;
BORDEAUX ST JEAN-LYON PART DIEU;25.0;115.0;156.0;
ST MAIXENT DEUX SEVRES-ARRAS;25.0;118.0;149.0;
CLUSES  74-TGV HAUTE PICARDIE;25.0;119.0;156.0;
TGV HAUTE PICARDIE-AIX LES BAINS LE REVARD;25.0;119.0;156.0;
AIME LA PLAGNE-ROUEN RIVE DROITE;25.0;121.0;160.0;
LANDRY-ROUEN RIVE DROITE;25.0;121.0;160.0;
LE MANS-LANDRY;25.0;120.0;162.0;
ANGERS ST LAUD-BOURG ST MAURICE;25.0;120.0;161.0;
ANGERS ST LAUD-ST MICHEL VALLOIRE;25.0;120.0;161.0;
ANGERS ST LAUD-LA ROCHE SUR FORON;25.0;120.0;161.0;
BOURG ST MAURICE-BERNAY;25.0;125.0;165.0;
TOURS-MARSEILLE ST CHARLES;25.0;125.0;167.0;
LILLE EUROPE-VALENCE TGV;25.0;127.0;159.0;
LILLE FLANDRES-BREST;;125.0;161.0;
LILLE FLANDRES-GRENOBLE;25.0;127.0;167.0;
LILLE EUROPE-ALBERTVILLE;25.0;127.0;167.0;
MOUTIERS SALINS BRIDES-ARRAS;25.0;127.0;167.0;
DUNKERQUE-AIME LA PLAGNE;25.0;127.0;167.0;
ST AVRE LA CHAMBRE-ARRAS;;127.0;167.0;
NANTES-ST MICHEL VALLOIRE;;127.0;167.0;
LA ROCHE SUR FORON-ST BRIEUC;30.0;137.0;179.0;
CLUSES  74-REDON;30.0;137.0;179.0;
LORIENT-ST GERVAIS LES BAINS LE FAYET;30.0;137.0;179.0;
GUINGAMP-ALBERTVILLE;30.0;137.0;179.0;
LA ROCHE SUR FORON-VANNES;30.0;137.0;179.0;
MARSEILLE ST CHARLES-NANTES;30.0;142.0;180.0;
AIX EN PROVENCE TGV-NANTES;30.0;142.0;180.0;
DAX-TGV HAUTE PICARDIE;30.0;144.0;174.0;
SAUMUR - LYON PART DIEU;25.0;99.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - RENNES;;37.0;54.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - GUINGAMP;;53.0;78.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - QUIMPERLE;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - LORIENT;25.0;122.0;161.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - QUIMPERLE;25.0;131.0;169.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
EPINAL-REMIREMONT;;7.5;11.0;
AVIGNON-ARLES;;9.8;14.3;
MACON LOCHE TGV-BOURG EN BRESSE;;10.2;14.7;
LA ROCHE SUR FORON-ANNECY;;10.6;15.5;
CANNES-MONACO MONTE CARLO;;11.9;17.5;
LUNEVILLE-ST DIE;;12.6;19.0;
QUIMPERLE-AURAY;;12.9;19.0;
BLOIS-ST PIERRE DES CORPS;;12.9;19.5;
BAYEUX-LISIEUX;;14.8;22.0;
DOLE VILLE-FRASNE;;17.5;24.5;
NANCY VILLE-ST DIE;;19.0;27.5;
LYON PART DIEU-BOURG EN BRESSE;;17.5;27.5;
TOURS-VENDOME VILLIERS SUR LOIR;;19.0;33.0;
NICE VILLE-LES ARCS DRAGUIGNAN;;19.5;28.5;
BEZIERS-PERPIGNAN;;19.5;27.5;
CAEN-BERNAY;;20.5;39.0;
MONTBARD-BEAUNE;;22.5;34.0;
LEPIN LE LAC LA BAUCHE-SALLANCHES COMBLOUX MEGEVE;;24.0;36.0;
AVIGNON TGV-VALENCE;;25.0;38.0;
CAEN-EVREUX EMBRANCHEMENT;;31.0;45.0;
METZ VILLE-NEUFCHATEAU;;25.5;42.0;
MACON LOCHE TGV-AIX LES BAINS LE REVARD;;27.5;41.0;
DAX-BORDEAUX ST JEAN;;29.0;42.0;
BREST-LAMBALLE;;32.0;46.0;
CHALON SUR SAONE-MONTBELIARD;;37.0;52.0;
DIJON VILLE-LYON PERRACHE;;37.0;60.0;
BORDEAUX ST JEAN-ST JEAN DE LUZ CIBOURE;;39.0;55.0;
LYON PERRACHE-THONON LES BAINS;;39.0;55.0;
MACON LOCHE TGV-BOURG ST MAURICE;15.0;50.0;74.0;
AIX EN PROVENCE TGV-VENTIMIGLIA STAZIONE  (IT);;46.0;69.0;
FUTUROSCOPE-ST JEAN DE LUZ CIBOURE;;69.0;100.0;
BIARRITZ-CHATELLERAULT;;69.0;102.0;
MORCENX-ST PIERRE DES CORPS;;70.0;103.0;
CHAMBERY CHALLES LES EAUX-BOURG EN BRESSE;;24.5;36.0;
CARENTAN-MASSY PALAISEAU;20.0;52.0;86.0;
VERSAILLES CHANTIERS-EVREUX EMBRANCHEMENT;;17.0;25.0;
POITIERS-FUTUROSCOPE;;2.9;4.2;
CULOZ-VALENCE TGV;;39.0;66.0;
TOULON-MONTELIMAR;15.0;42.0;63.0;
CULOZ-ST RAPHAEL VALESCURE;;98.0;143.0;
MARSEILLE ST CHARLES-AIX LES BAINS LE REVARD;25.0;89.0;119.0;
CANNES-ANNECY;25.0;105.0;160.0;
AIX EN PROVENCE TGV-MARNE LA VALLEE CHESSY;25.0;116.0;162.0;
AEROPORT CDG 2 TGV ROISSY-MARSEILLE ST CHARLES;25.0;116.0;162.0;
LYON PERRACHE-PARIS NORD;25.0;97.0;133.0;
LE TEIL-NARBONNE;15.0;45.0;66.0;
STRASBOURG-MONTPELLIER;20.0;123.0;160.0;
MARSEILLE ST CHARLES-BELFORT-MONTBELIARD TGV;20.0;124.0;161.0;
MONTPELLIER-TOUL;25.0;93.0;121.0;
Beaune-Les Arcs Draguignan;25.0;91.0;122.0;
Nancy ville-toulouse matabiau;25.0;127.0;165.0;
CULMONT CHALINDREY-Antibes;25.0;124.0;161.0;
NEUFCHATEAU-narbonne;25.0;103.0;135.0;
CULMONT CHALINDREY-SETE;25.0;94.0;125.0;
SAINT MICHEL VALLOIRE-MASSY PALAISEAU;25.0;113.0;154.0;
paris austerlitz-Saint Malo;20.0;85.0;123.0;
LAVAL-TGV HAUTE PICARDIE;25.0;88.0;111.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-LILLE EUROPE;25.0;97.0;124.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-RENNES;25.0;108.0;137.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ARRAS-RENNES;25.0;108.0;137.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI-ST MALO;25.0;110.0;140.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-LIBOURNE;20.0;96.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-NANTES;20.0;85.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-ST NAZAIRE;25.0;86.0;125.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-LE CROISIC;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE POULIGUEN-MARNE LA VALLEE CHESSY;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ORTHEZ-PARIS MONTPARNASSE 1 ET 2;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
SAUMUR-LYON PERRACHE;25.0;96.0;135.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-RENNES;;31.0;45.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-MORLAIX;;44.0;64.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-MORLAIX;;54.0;79.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ST JEAN DE LUZ CIBOURE-ST PIERRE DES CORPS;25.0;80.0;114.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ARRAS - RENNES;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - LIBOURNE;25.0;130.0;172.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
NIMES - RENNES;30.0;148.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - PARIS MONTPARNASSE 1 ET 2;25.0;111.0;166.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
POITIERS - PARIS MONTPARNASSE 1 ET 2;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE CROISIC - PARIS MONTPARNASSE 1 ET 2;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA BAULE ESCOUBLAC - AEROPORT CDG2 TGV ROISSY;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - REDON;20.0;94.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORIENT - AEROPORT CDG2 TGV ROISSY;20.0;100.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORIENT - MARNE LA VALLEE CHESSY;20.0;100.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AIX EN PROVENCE TGV-SETE;;37.0;50.0;
NIMES-VALENCE;;41.0;55.0;
MONTPELLIER-VALENCE;;45.0;67.0;
LYON ST EXUPERY-MIRAMAS;;58.0;79.0;
LYON PERRACHE-MONTPELLIER;20.0;65.0;86.0;
LILLE EUROPE-MASSY PALAISEAU;15.0;63.0;82.0;
LYON PERRACHE-TOULON;20.0;72.0;101.0;
CHERBOURG-MONTBARD;20.0;78.0;102.0;
MONTPELLIER-BELLEGARDE;20.0;74.0;107.0;
VALENCE-TOULOUSE MATABIAU;20.0;75.0;109.0;
AIX EN PROVENCE TGV-LE CREUSOT MONTCEAU MONTCHANIN;25.0;82.0;118.0;
LILLE EUROPE-VIERZON VILLE;25.0;97.0;123.0;
LILLE EUROPE-ST PIERRE DES CORPS;25.0;101.0;134.0;
LILLE FLANDRES-MONTBARD;25.0;102.0;121.0;
CANNES-BELLEGARDE;25.0;98.0;143.0;
LE POULIGUEN-LILLE EUROPE;25.0;108.0;140.0;
VALENCE TGV-ST PIERRE DES CORPS;25.0;113.0;148.0;
LILLE EUROPE-LYON PART DIEU;25.0;116.0;154.0;
LAVAL-VALENCE TGV;25.0;116.0;151.0;
LE MANS-SALLANCHES COMBLOUX MEGEVE;25.0;120.0;162.0;
GUINGAMP-DOUAI;25.0;119.0;153.0;
LYON PART DIEU-ST BRIEUC;25.0;122.0;156.0;
LA ROCHELLE VILLE-DOUAI;25.0;122.0;155.0;
LAMBALLE-TGV HAUTE PICARDIE;25.0;120.0;158.0;
NANTES-AIX LES BAINS LE REVARD;25.0;125.0;165.0;
CHAMBERY CHALLES LES EAUX-CARENTAN;25.0;125.0;165.0;
BELLEGARDE-DOUAI;25.0;127.0;167.0;
QUIMPERLE-DOUAI;25.0;125.0;161.0;
ROSPORDEN-DOUAI;25.0;125.0;161.0;
GRENOBLE-ST NAZAIRE;25.0;125.0;165.0;
ST JEAN DE MAURIENNE ARVAN-NANTES;;127.0;167.0;
SAUMUR-MONTPELLIER;25.0;133.0;173.0;
LILLE FLANDRES-ST JEAN DE LUZ CIBOURE;30.0;144.0;174.0;
DAX-ARRAS;30.0;144.0;174.0;
HENDAYE-ARRAS;30.0;144.0;174.0;
LILLE FLANDRES-MARSEILLE ST CHARLES;30.0;144.0;184.0;
AIME LA PLAGNE-QUIMPER;30.0;147.0;190.0;
LA ROCHE SUR FORON-QUIMPER;30.0;147.0;190.0;
LILLE FLANDRES-TOULOUSE MATABIAU;30.0;150.0;188.0;
LILLE FLANDRES-NARBONNE;30.0;150.0;188.0;
DOUAI-SETE;30.0;150.0;188.0;
CANNES-LILLE EUROPE;30.0;155.0;196.0;
LILLE FLANDRES-VIERZON VILLE;25.0;97.0;123.0;
PARIS EST-CHARLEVILLE MEZIERES;15.0;48.0;76.0;
CASTELNAUDARY-TGV HAUTE PICARDIE;30.0;150.0;188.0;
LYON ST EXUPERY-ROUEN RIVE DROITE;25.0;97.0;133.0;
BRIVE LA GAILLARDE-MARNE LA VALLEE CHESSY;25.0;101.0;120.0;
MASSY TGV-DOUAI;;52.0;66.0;
AVIGNON SUD-LYON ST EXUPERY;15.0;51.0;68.0;
MONTPELLIER-BEAUNE;20.0;81.0;107.0;
MONTBARD-LILLE EUROPE;25.0;102.0;121.0;
MOUCHARD-PARIS GARE DE LYON;20.0;82.0;109.0;
DIJON VILLE-NIMES;20.0;84.0;110.0;
VALENCE TGV-LONS LE SAUNIER;;53.0;67.0;
NANCY VILLE-MARSEILLE ST CHARLES;25.0;117.0;151.0;
AVIGNON TGV-TOUL;25.0;107.0;141.0;
BESANCON VIOTTE-AIX EN PROVENCE TGV;20.0;111.0;144.0;
NANCY VILLE-FUTUROSCOPE;25.0;112.0;149.0;
SURGERES-MARNE LA VALLEE CHESSY;25.0;89.0;123.0;
IRUN-AEROPORT CDG 2 TGV ROISSY;25.0;112.0;147.0;
MARNE LA VALLEE CHESSY-MONTAUBAN VILLE BOURBON;25.0;109.0;142.0;
NICE VILLE-PARIS GARE DE LYON;25.0;132.0;185.0;
MASSY PALAISEAU-VALENCE TGV;25.0;107.0;147.0;
PARIS GARE DE LYON-MENTON;25.0;132.0;185.0;
CANNES-MARNE LA VALLEE CHESSY;25.0;132.0;185.0;
MASSY TGV-LANDRY;25.0;118.0;161.0;
MASSY TGV-ST MICHEL VALLOIRE;25.0;113.0;154.0;
PARIS GARE DE LYON-ANNEMASSE;25.0;108.0;152.0;
PARIS NORD-EVIAN LES BAINS;25.0;108.0;152.0;
MONTBARD-AEROPORT CDG 2 TGV ROISSY;15.0;57.0;78.0;
MASSY TGV-VALENCE;25.0;103.0;143.0;
VILLENEUVE LES AVIGNONS-MARSEILLE ST CHARLES;;30.0;44.0;
VENDOME VILLIERS SUR LOIR-GRENOBLE;25.0;112.0;157.0;
VENDOME VILLIERS SUR LOIR-MONTPELLIER;25.0;125.0;167.0;
VENDOME VILLIERS SUR LOIR-SAVERNE;25.0;127.0;168.0;
AVIGNON-ROUEN RIVE DROITE;;129.0;177.0;
AVIGNON-CULMONT CHALINDREY;;87.0;116.0;
LILLE EUROPE-BELLEGARDE;25.0;127.0;167.0;
BORDEAUX ST JEAN-VALENCE;25.0;107.0;142.0;
FRASNE-PONTARLIER;;4.9;8.2;
NICE VILLE-MENTON;;7.2;10.8;
LAVAL - GUINGAMP;;39.0;55.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BREST - AEROPORT CDG2 TGV ROISSY;20.0;100.0;142.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN-DOUAI;30.0;144.0;174.0;
LILLE EUROPE-PERPIGNAN;30.0;150.0;188.0;
TGV HAUTE PICARDIE-ANTIBES;30.0;155.0;196.0;
AEROPORT CDG 2 TGV ROISSY-DOUAI;15.0;52.0;66.0;
AVIGNON-LYON ST EXUPERY;15.0;51.0;68.0;
MACON VILLE-SETE;20.0;81.0;107.0;
MARSEILLE ST CHARLES-BESANCON FRANCHE-COMTE TGV;20.0;111.0;144.0;
LYON PART DIEU-BELFORT-MONTBELIARD TGV;15.0;67.0;85.0;
LYON PART DIEU-BESANCON FRANCHE-COMTE TGV;15.0;51.0;68.0;
BESANCON VIOTTE-CHALON SUR SAONE;;30.0;41.0;
MOUCHARD-MARNE LA VALLEE CHESSY;20.0;82.0;109.0;
MARNE LA VALLEE CHESSY-NIORT;20.0;84.0;118.0;
IRUN-MARNE LA VALLEE CHESSY;25.0;112.0;147.0;
PARIS GARE DE LYON-AGDE;25.0;116.0;162.0;
PARIS GARE DE LYON-SETE;25.0;116.0;162.0;
PARIS NORD-BOURG ST MAURICE;25.0;118.0;161.0;
CLUSES  74-PARIS GARE DE LYON;25.0;119.0;163.0;
