OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
ST GERVAIS LES BAINS LE FAYET-REDON;30.0;137.0;179.0;
VANNES-AIX LES BAINS LE REVARD;30.0;137.0;179.0;
AVIGNON TGV-ARRAS;30.0;144.0;180.0;
LILLE FLANDRES-BAYONNE;30.0;144.0;174.0;
TGV HAUTE PICARDIE-ST JEAN DE LUZ CIBOURE;30.0;144.0;174.0;
IRUN-TGV HAUTE PICARDIE;30.0;144.0;174.0;
MODANE-MORLAIX;30.0;147.0;190.0;
BOURG ST MAURICE-QUIMPER;30.0;147.0;190.0;
ANNECY-QUIMPER;30.0;147.0;190.0;
LILLE FLANDRES-ANTIBES;30.0;155.0;196.0;
MARNE LA VALLEE CHESSY-DOUAI;15.0;52.0;66.0;
MARNE LA VALLEE CHESSY-VIERZON VILLE;20.0;62.0;78.0;
COLMAR-CHALON SUR SAONE;20.0;72.0;90.0;
BEZIERS-MACON VILLE;20.0;81.0;107.0;
BESANCON VIOTTE-MONTPELLIER;20.0;111.0;144.0;
MULHOUSE VILLE-LYON ST EXUPERY;20.0;78.0;100.0;
LYON PERRACHE-BELFORT-MONTBELIARD TGV;15.0;67.0;85.0;
LYON PERRACHE-BESANCON FRANCHE-COMTE TGV;15.0;51.0;68.0;
MASSY TGV-NANCY VILLE;;77.0;110.0;
AEROPORT CDG 2 TGV ROISSY-MONTAUBAN VILLE BOURBON;25.0;109.0;142.0;
BEZIERS-MARNE LA VALLEE CHESSY;25.0;116.0;162.0;
BEZIERS-PARIS NORD;25.0;116.0;162.0;
PARIS GARE DE LYON-MONACO MONTE CARLO;25.0;132.0;185.0;
AEROPORT CDG 2 TGV ROISSY-ANNEMASSE;25.0;108.0;152.0;
MARNE LA VALLEE CHESSY-EVIAN LES BAINS;25.0;108.0;152.0;
MARNE LA VALLEE CHESSY-LE CREUSOT MONTCEAU MONTCHANIN;20.0;82.0;114.0;
ST ETIENNE CHATEAUCREUX-MARNE LA VALLEE CHESSY;25.0;100.0;141.0;
DUNKERQUE-PARIS NORD;15.0;66.0;85.0;
AVIGNON-TOULON;;41.0;58.0;
COLMAR-AEROPORT CDG 2 TGV ROISSY;25.0;96.0;137.0;
STRASBOURG-CHAMBERY CHALLES LES EAUX;25.0;102.0;120.0;
STRASBOURG-ALBERTVILLE;20.0;114.0;139.0;
COLMAR-AIME LA PLAGNE;25.0;109.0;134.0;
BESANCON FRANCHE-COMTE TGV-ALBERTVILLE;20.0;75.0;89.0;
MOUTIERS SALINS BRIDES-BESANCON FRANCHE-COMTE TGV;20.0;78.0;95.0;
LAVAL-MODANE;25.0;127.0;166.0;
BESANCON VIOTTE-ALBERTVILLE;;75.0;89.0;
LILLE FLANDRES-TOURCOING;;4.3;7.7;
GROISY THORENS LA CAILLE-ANNECY;;5.3;8.4;
LE POULIGUEN - NANTES;;18.5;26.5;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - ST MALO;;46.0;67.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - PLOUARET TREGOR;;55.0;81.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - AURAY;20.0;100.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BREST - MARNE LA VALLEE CHESSY;20.0;100.0;142.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ARRAS-ST JEAN DE LUZ CIBOURE;30.0;144.0;174.0;
NIMES-ARRAS;30.0;144.0;184.0;
BREST-SALLANCHES COMBLOUX MEGEVE;30.0;147.0;190.0;
CHAMBERY CHALLES LES EAUX-QUIMPER;30.0;147.0;190.0;
LA ROCHE SUR FORON-MORLAIX;30.0;147.0;190.0;
MORLAIX-ANNEMASSE;30.0;147.0;190.0;
LILLE EUROPE-ST RAPHAEL VALESCURE;30.0;155.0;196.0;
AVIGNON-MONTPELLIER;;25.5;35.0;
PARIS GARE DE LYON-HYERES;25.0;121.0;166.0;
LA SOUTERRAINE-AEROPORT CDG 2 TGV ROISSY;20.0;80.0;101.0;
MULHOUSE VILLE-BELFORT-MONTBELIARD TGV;;16.5;20.5;
CARCASSONNE-MACON VILLE;25.0;84.0;124.0;
MONTPELLIER-CHALON SUR SAONE;20.0;81.0;107.0;
MACON VILLE-ST RAPHAEL VALESCURE;25.0;107.0;140.0;
COLMAR-LYON PERRACHE;20.0;85.0;110.0;
LILLE FLANDRES-BELFORT-MONTBELIARD TGV;20.0;129.0;166.0;
ANCENIS-PARIS MONTPARNASSE 1 ET 2;20.0;77.0;111.0;
LA ROCHELLE VILLE-AEROPORT CDG 2 TGV ROISSY;25.0;89.0;123.0;
AEROPORT CDG 2 TGV ROISSY-NIORT;20.0;84.0;118.0;
ST MAIXENT DEUX SEVRES-MARNE LA VALLEE CHESSY;20.0;84.0;118.0;
ST MAIXENT DEUX SEVRES-AEROPORT CDG 2 TGV ROISSY;20.0;84.0;118.0;
DAX-AEROPORT CDG 2 TGV ROISSY;25.0;110.0;143.0;
AEROPORT CDG 2 TGV ROISSY-ST RAPHAEL VALESCURE;25.0;132.0;185.0;
MASSY TGV-ALBERTVILLE;25.0;115.0;154.0;
MASSY TGV-ST JEAN DE MAURIENNE ARVAN;25.0;111.0;149.0;
ST JEAN DE MAURIENNE ARVAN-PARIS NORD;25.0;111.0;149.0;
PARIS GARE DE LYON-BELLEGARDE;25.0;91.0;129.0;
DOLE VILLE-AEROPORT CDG 2 TGV ROISSY;20.0;79.0;105.0;
AEROPORT CDG 2 TGV ROISSY-VALENCE;25.0;103.0;143.0;
PARIS NORD-VALENCE;25.0;103.0;143.0;
ARLES-PARIS GARE DE LYON;25.0;105.0;147.0;
EPINAL-PARIS EST;25.0;85.0;123.0;
RETHEL-PARIS EST;15.0;44.0;69.0;
LYON ST EXUPERY-CHATELLERAULT;25.0;96.0;135.0;
AVIGNON-NARBONNE;;46.0;61.0;
SAVERNE-FUTUROSCOPE;30.0;137.0;182.0;
AIX EN PROVENCE TGV-ECOLE VALENTIN;;111.0;144.0;
VENDOME VILLIERS SUR LOIR-VALENCE;25.0;113.0;148.0;
AVIGNON TGV-PERPIGNAN;15.0;48.0;62.0;
AIME LA PLAGNE-BELFORT-MONTBELIARD TGV;25.0;92.0;115.0;
LANDRY-BELFORT-MONTBELIARD TGV;25.0;92.0;115.0;
LANDRY-BESANCON FRANCHE-COMTE TGV;20.0;78.0;97.0;
VERSAILLES CHANTIERS-BOURG ST MAURICE;25.0;118.0;161.0;
MASSY PALAISEAU-ALBERTVILLE;25.0;115.0;154.0;
GRENOBLE-MARSEILLE ST CHARLES;20.0;65.0;86.0;
PORNICHET-LE POULIGUEN;;3.0;5.7;
MONACO MONTE CARLO-MENTON;;3.0;5.8;
CHAMBERY CHALLES LES EAUX-AIX LES BAINS LE REVARD;;4.6;7.9;
PORNICHET-LE CROISIC;;4.6;7.9;
FACTURE BIGANOS-LA TESTE;;5.1;8.4;
LA BAULE ESCOUBLAC-ST NAZAIRE;;6.0;9.2;
AGDE-SETE;;7.5;11.5;
CLUSES  74-LA ROCHE SUR FORON;;7.9;11.3;
CARENTAN-VALOGNES;;8.5;12.6;
CULOZ-BELLEGARDE;;9.3;13.7;
BORDEAUX ST JEAN-FACTURE BIGANOS;;10.6;15.5;
DUNKERQUE-HAZEBROUCK;;10.7;15.5;
BEZIERS-SETE;;12.1;18.5;
NIMES-MONTPELLIER;;13.2;19.5;
CULOZ-ANNECY;;14.2;20.5;
COLMAR-SAVERNE;;15.5;23.0;
PLOUARET TREGOR-LANDERNEAU;;16.0;23.0;
GROISY THORENS LA CAILLE-ST GERVAIS LES BAINS LE FAYET;;16.5;23.5;
DIJON VILLE-MONTBARD;;16.5;23.5;
ANNECY-SALLANCHES COMBLOUX MEGEVE;;17.5;24.0;
LEPIN LE LAC LA BAUCHE-BOURG ST MAURICE;;21.0;31.0;
MACON LOCHE TGV-LE CREUSOT MONTCEAU MONTCHANIN;;23.0;34.0;
MENTON-LES ARCS DRAGUIGNAN;;23.5;35.0;
TOULON-MONACO MONTE CARLO;;35.0;49.0;
LYON PART DIEU-MOUCHARD;;24.5;36.0;
QUIMPER-VANNES;;24.5;37.0;
LILLE EUROPE-CALAIS FRETHUN;;26.0;39.0;
