trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008913F5505512595,09:39:00,09:39:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F5505512595,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F5505512595,11:13:00,11:16:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F5505512595,11:54:00,11:58:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008913F5505512595,12:33:00,12:36:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008913F5505512595,12:49:00,12:53:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008913F5505512595,13:03:00,13:03:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008921F1501512611,12:44:00,12:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008921F1501512611,14:06:00,14:13:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008921F1501512611,14:50:00,14:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008921F1501512611,15:29:00,15:32:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008921F1501512611,15:46:00,15:50:00,StopPoint:OCETGV-87481754,4,"",0,0,
OCESN008921F1501512611,15:59:00,15:59:00,StopPoint:OCETGV-87481788,5,"",0,0,
OCESN008913F5705712597,09:25:00,09:25:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F5705712597,10:27:00,10:30:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F5705712597,11:07:00,11:10:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F5705712597,11:50:00,11:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008913F5705712597,12:30:00,12:33:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008913F5705712597,12:48:00,12:52:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008913F5705712597,13:02:00,13:02:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008897F13013~TGF91127,18:35:00,18:35:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008897F13013~TGF91127,19:37:00,19:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008895F1901912560,17:39:00,17:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008895F1901912560,18:42:00,18:42:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008895F1701712561,17:38:00,17:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008895F1701712561,18:34:00,18:34:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008893F09009~TGF91123,16:38:00,16:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008893F09009~TGF91123,17:34:00,17:34:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008897F1201212564,18:39:00,18:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008897F1201212564,19:33:00,19:33:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008895F1801812562,17:39:00,17:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008895F1801812562,18:33:00,18:33:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008893F0900912559,16:38:00,16:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008893F0900912559,17:34:00,17:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008897F1301312565,18:35:00,18:35:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008897F1301312565,19:37:00,19:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008895F17017~TGA91124,17:38:00,17:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008895F17017~TGA91124,18:34:00,18:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008897F12012~TGA91126,18:39:00,18:39:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008897F12012~TGA91126,19:33:00,19:33:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008897F1101112563,18:38:00,18:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008897F1101112563,19:34:00,19:34:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008973F14014~TGF91172,09:38:00,09:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008973F14014~TGF91172,10:34:00,10:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008973F14014~TGF91172,11:14:00,11:17:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008973F14014~TGF91172,11:54:00,12:05:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008973F14014~TGF91172,12:44:00,12:47:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
