Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
PAMIERS;SAVERDUN;;3.9;5.9;3.9
FIGEAC;ASSIER;;4.2;6.3;4.2
ALBI MADELEINE;ST DENIS PRES MARTEL;15.0;31.7;47.6;31.7
FIGEAC;LES AUBRAIS - ORLÉANS;35.0;105.0;148.0;68.0
BAYONNE;LOURDES;;24.6;37.0;24.6
DAX;TARBES;;24.8;37.2;24.8
AX LES THERMES;VIERZON VILLE;35.0;121.0;179.0;96.0
CAUSSADE TARN ET GARONNE;Cahors;;8.5;12.7;8.5
CAPDENAC;GRAMAT;;8.7;13.0;8.7
CRANSAC;VIVIEZ DECAZEVILLE;;2.2;3.2;2.2
CANNES;PARIS GARE DE LYON;35.0;160.0;247.0;129.0
ALBI MADELEINE;GRAMAT;15.0;30.7;46.0;30.7
ALBI MADELEINE;VIVIEZ DECAZEVILLE;;22.5;33.7;22.5
L'ARGENTIERE LES ECRINS   (05);PARIS GARE DE LYON;35.0;147.0;222.0;112.0
LES CABANNES;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
TARBES;LES AUBRAIS - ORLÉANS;35.0;134.0;196.0;97.0
TOULON;PARIS AUSTERLITZ;35.0;145.0;224.0;113.0
ANDORRE L'HOSPITALET;VIERZON VILLE;35.0;121.0;179.0;96.0
LUZENAC GARANOU;LES CABANNES;;2.0;3.0;2.0
CHORGES;GAP;;3.9;5.9;3.9
BAYONNE;PAU;;18.7;28.1;18.7
ST CHRISTOPHE;ASSIER;;11.7;17.5;11.7
CHORGES;LUC EN DIOIS;;15.7;23.6;15.7
BAYONNE;ORTHEZ;;12.6;18.9;12.6
FIGEAC;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
NICE VILLE;PARIS BERCY;35.0;160.0;247.0;129.0
ANDORRE L'HOSPITALET;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
MONTDAUPHIN GUILLESTRE;LUC EN DIOIS;;21.8;32.7;21.8
LES CABANNES;TOULOUSE MATABIAU;;19.2;28.7;19.2
RODEZ;ROCAMADOUR PADIRAC;;20.7;31.0;20.7
TOULOUSE MATABIAU;LIMOGES BENEDICTINS;35.0;84.0;124.0;50.0
LES CABANNES;FOIX;;5.9;8.9;5.9
GOURDON;SOUILLAC;;5.3;7.9;5.3
IRUN;HENDAYE;;1.2;1.8;1.2
MONTDAUPHIN GUILLESTRE;DIE;;24.6;37.0;24.6
IRUN;PAU;;24.4;36.5;24.4
ST DENIS PRES MARTEL;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
DAX;PARIS AUSTERLITZ;35.0;130.0;189.0;95.0
TARASCON SUR ARIEGE;SAVERDUN;;10.3;15.4;10.3
LUC EN DIOIS;CREST;;11.2;16.8;11.2
IRUN;CHORGES;;8.0;12.0;8.0
Carmaux;St Christophe;;17.4;26.0;17.4
L'ARGENTIERE LES ECRINS  (05);CHORGES;;10.6;15.8;10.6
CAPDENAC;ROCAMADOUR PADIRAC;;9.9;14.9;9.9
VIVIEZ DECAZEVILLE;CAPDENAC;;5.5;8.2;5.5
AX LES THERMES;LES CABANNES;;3.5;5.3;3.5
DIE;CREST;;8.0;12.0;8.0
AX LES THERMES;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
SAVERDUN;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
GAP;PARIS GARE DE LYON;35.0;139.0;208.0;104.0
BIARRITZ;DAX;;11.9;17.8;11.9
TOULOUSE MATABIAU;LES AUBRAIS - ORLÉANS;35.0;116.0;171.0;81.0
BAYONNE;LES AUBRAIS - ORLÉANS;35.0;129.0;190.0;90.0
L'ARGENTIERE LES ECRINS  (05);CREST;15.0;31.5;47.3;31.5
ALBI MADELEINE;CRANSAC;;22.1;33.1;22.1
BIARRITZ;PAU;;20.5;30.8;20.5
LES ARCS DRAGUIGNAN;PARIS AUSTERLITZ;35.0;160.0;247.0;129.0
NICE VILLE;PARIS AUSTERLITZ;35.0;160.0;247.0;129.0
VIVIEZ DECAZEVILLE;ROCAMADOUR PADIRAC;;12.3;18.5;12.3
TARASCON SUR ARIEGE;AUTERIVE (31);;12.6;18.9;12.6
ST JEAN DE LUZ CIBOURE;ORTHEZ;;16.0;24.0;16.0
ALBI VILLE;Rodez;;15.4;23.1;15.4
BIARRITZ;ORTHEZ;;14.1;21.1;14.1
LIMOGES BENEDICTINS;LES AUBRAIS - ORLÉANS;20.0;41.8;62.7;41.8
HENDAYE;LOURDES;;29.6;44.4;29.6
BRIANCON;DIE;;28.6;43.0;28.6
DIE;PARIS AUSTERLITZ;35.0;128.0;195.0;87.0
AUBIN;GRAMAT;;11.7;17.5;11.7
AUBIN;ASSIER;;9.0;13.4;9.0
DAX;ORTHEZ;;11.2;16.8;11.2
ST CHRISTOPHE;PARIS AUSTERLITZ;35.0;136.0;193.0;89.0
AUBIN;LES AUBRAIS - ORLÉANS;35.0;110.0;157.0;76.0
LIMOGES BENEDICTINS;PARIS AUSTERLITZ;25.0;54.9;82.3;54.8
PAMIERS;LIMOGES BENEDICTINS;35.0;101.0;148.0;52.6
FOIX;LIMOGES BENEDICTINS;35.0;101.0;148.0;54.5
MONTDAUPHIN GUILLESTRE;EMBRUN;;4.0;5.9;4.0
AUBIN;CAPDENAC;;4.4;6.6;4.4
PORTE PUYMORENS;AX LES THERMES;;6.1;9.2;6.1
TOULOUSE MATABIAU;PARIS AUSTERLITZ;35.0;130.0;186.0;95.0
ANTIBES;PARIS AUSTERLITZ;35.0;160.0;247.0;129.0
IRUN;PARIS AUSTERLITZ;35.0;143.0;208.0;101.0
VIVIEZ DECAZEVILLE;ST DENIS PRES MARTEL;;15.1;22.7;15.1
LATOUR DE CAROL ENVEITG;FOIX;;14.8;22.2;14.8
PAMIERS;TOULOUSE MATABIAU;;12.8;19.1;12.8
AUBIN;VIVIEZ DECAZEVILLE;;11.1;16.6;11.1
BAYONNE;DAX;;10.7;16.1;10.7
ROCAMADOUR PADIRAC;ST DENIS PRES MARTEL;;4.2;6.3;4.2
TARASCON SUR ARIEGE;FOIX;;4.2;6.3;4.2
CAPDENAC;ASSIER;;5.5;8.2;5.5
EMBRUN;CHORGES;;4.8;7.2;4.8
CRANSAC;LES AUBRAIS - ORLÉANS;35.0;110.0;157.0;76.0
ASSIER;LES AUBRAIS - ORLÉANS;35.0;105.0;148.0;68.0
TOULOUSE MATABIAU;Cahors;;20.2;30.3;20.2
ALBI MADELEINE;LES AUBRAIS - ORLÉANS;35.0;111.0;158.0;82.0
RODEZ;PARIS AUSTERLITZ;35.0;136.0;193.0;89.0
AUTERIVE (31);TOULOUSE MATABIAU;;7.7;11.5;7.7
ASSIER;ST DENIS PRES MARTEL;;9.0;13.4;9.0
GAP;VEYNES DEVOLUY;;6.4;9.5;6.4
CAPDENAC;FIGEAC;;2.0;3.0;2.0
PORTE PUYMORENS;TOULOUSE MATABIAU;;26.0;39.0;26.0
ORTHEZ;PARIS AUSTERLITZ;35.0;130.0;189.0;95.0
CANNES;PARIS BERCY;35.0;160.0;247.0;129.0
MONTAUBAN VILLE BOURBON;PARIS AUSTERLITZ;35.0;130.0;186.0;95.0
FOIX;PAMIERS;;4.2;6.3;4.2
SAVERDUN;TOULOUSE MATABIAU;;10.1;15.1;10.1
AX LES THERMES;AUTERIVE (31);;16.5;24.7;16.5
SAVERDUN;LIMOGES BENEDICTINS;35.0;101.0;148.0;70.0
ST JEAN DE LUZ CIBOURE;PARIS AUSTERLITZ;35.0;143.0;208.0;101.0
EMBRUN;PARIS BERCY;35.0;147.0;222.0;112.0
ANDORRE L'HOSPITALET;AUTERIVE (31);;19.8;29.7;19.8
AX LES THERMES;TOULOUSE MATABIAU;;21.7;32.5;21.7
ALBI VILLE;St Christophe;;20.4;30.5;20.4
BRIANCON;CREST;15.0;33.1;49.6;33.1
ST CHRISTOPHE;VIVIEZ DECAZEVILLE;;4.8;7.2;4.8
ALBI VILLE;GRAMAT;;26.4;39.6;26.4
TOULOUSE MATABIAU;VIERZON VILLE;35.0;116.0;171.0;81.0
SOUILLAC;PARIS AUSTERLITZ;35.0;123.0;182.0;82.0
ANDORRE L'HOSPITALET;LUZENAC GARANOU;;6.6;9.8;6.6
MERENS LES VALS;FOIX;;10.1;15.1;10.1
L'ARGENTIERE LES ECRINS  (05);VEYNES DEVOLUY;;17.2;25.8;17.2
BRIANCON;GAP;;15.1;22.7;15.1
PORTE PUYMORENS;LES CABANNES;;8.7;13.0;8.7
CAUSSADE TARN ET GARONNE;LES AUBRAIS - ORLÉANS;35.0;116.0;171.0;81.0
ANDORRE L'HOSPITALET;LIMOGES BENEDICTINS;35.0;101.0;148.0;60.8
FIGEAC;GRAMAT;;7.7;11.5;7.7
MONTREJEAU GOURDAN POLIGNAN;PARIS AUSTERLITZ;35.0;130.0;189.0;95.0
PORTE PUYMORENS;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
MONTDAUPHIN GUILLESTRE;PARIS BERCY;35.0;147.0;222.0;112.0
IRUN;LES AUBRAIS - ORLÉANS;35.0;129.0;190.0;90.0
MERENS LES VALS;VIERZON VILLE;35.0;121.0;179.0;96.0
CAPDENAC;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
FOIX;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
PORTE PUYMORENS;ANDORRE L'HOSPITALET;;2.0;3.0;2.0
BIARRITZ;CHORGES;;2.8;4.1;2.8
ST JEAN DE LUZ CIBOURE;TARBES;15.0;30.6;45.8;30.6
CARMAUX;ASSIER;;26.6;39.9;26.6
ALBI VILLE;CAPDENAC;;20.2;30.3;20.2
RODEZ;GRAMAT;;19.0;28.5;19.0
DAX;LOURDES;;21.8;32.7;21.8
CANNES;PARIS AUSTERLITZ;35.0;160.0;247.0;129.0
L'ARGENTIERE LES ECRINS  (05);GAP;;13.4;20.0;13.4
VEYNES DEVOLUY;DIE;;12.2;18.2;12.2
RODEZ;ST DENIS PRES MARTEL;;23.2;34.8;23.2
HENDAYE;PAU;;24.2;36.3;24.2
LUZENAC GARANOU;AUTERIVE (31);;15.0;22.5;15.0
HENDAYE;MONTREJEAU GOURDAN POLIGNAN;15.0;38.6;57.9;38.6
BIARRITZ;LOURDES;;26.5;39.7;26.5
IRUN;LOURDES;;29.7;44.6;29.7
TARASCON SUR ARIEGE;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
