Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
SALBRIS;BOURGES;;10.7;16.1;;
COSNE;NEVERS;;11.4;17.0;;
NOGENT SUR VERNISSON;COSNE;;11.7;17.5;;
PONT STE MAXENCE;CHAUNY;;12.0;18.0;;
NOYELLES;BOULOGNE;;12.6;18.9;;
VAL-DE-REUIL;YVETOT;;12.9;19.3;;
COUTRAS;PÉRIGUEUX;;14.2;21.4;;
TERRASSON;EGLETONS;;15.0;22.5;;
MUSSIDAN;CONDAT LE LARDIN;;15.4;23.1;;
CHATELAILLON;PONS;;15.7;23.6;;
BRIVE LA GAILLARDE;USSEL;;16.6;24.9;;
ARGENTAN;LE MANS;;17.7;26.5;;
PONS;BORDEAUX;;17.8;26.7;;
CAEN;ALENÇON;10;19.9;29.9;;
SALBRIS;SAINT AMAND MONTROND;;20.2;30.3;;
EVREUX;TROUVILLE-DEAUVILLE;;20.2;30.3;;
LANGRES;LURE;;20.4;30.5;;
LA BASTIDE ST LAURENT;NÎMES;;20.5;30.8;;
PARIS SAINT LAZARE;CONCHES;;22.1;33.1;;
NEMOURS;POUILLY SUR LOIRE;;22.4;33.5;;
CLERMONT FERRAND;ROANNE;;22.9;34.4;;
LA ROCHE SUR YON;ROCHEFORT;;22.9;34.4;;
VILLEFORT;ARLES;;23.6;35.5;;
LANGEAC;GRAND COMBES-LA PISE;;23.9;35.9;;
MANTES-LA-JOLIE;BERNAY;;23.9;35.9;;
NIVERSAC;MEYMAC;;24.4;36.5;;
RIOM;TARARE;10;27.3;41.0;;
BORDEAUX ST JEAN;CONDAT LE LARDIN;10;29.2;43.9;;
CLERMONT FERRAND;LA BASTIDE ST LAURENT;10;30.7;46.0;;
ARGENTAN;TOURS;10;31.7;47.6;;
VENDEUVRE SUR BARSE;PARIS EST;15;32.0;48.0;;
SAUMUR RIVE DROITE;BOURGES;10;32.7;49.0;;
EVREUX;VALOGNES;10;36.2;54.3;;
PARIS GARE DE BERCY;FOURCHAMBAULT;15;37.8;56.7;;
TOURS;MOULINS SUR ALLIER;15;38.3;57.4;;
LIBOURNE;USSEL;10;39.0;58.5;;
SAUMUR RIVE DROITE;SAINCAIZE;15;42.7;64.1;;
ROMILLY;BELFORT;20;45.8;68.7;;
SAUMUR RIVE DROITE;LYON VAISE;20;66.2;99.3;;
GIEN;BRIARE;;2.8;4.1;;
NEVERS;SAINCAIZE;;3.0;4.4;;
CREIL;CLERMONT-DE-L'OISE;;3.7;5.6;;
BRIOUZE;FLERS;;4.0;5.9;;
CHATELAILLON;ROCHEFORT;;4.4;6.6;;
LOURDES;TARBES;;4.8;7.2;;
NOYON;TERGNIER;;5.3;7.9;;
ARVANT;MASSIAC;;5.5;8.2;;
COMPIÈGNE;NOYON;;5.5;8.2;;
NOYELLES;RANG-DU FLIERS;;6.1;9.2;;
BLOIS;AMBOISE;;7.2;10.8;;
COSNE;LA CHARITÉ;;7.2;10.8;;
TULLE (+ REBROUSSEMENT);EGLETONS;;7.7;11.5;;
MONTARGIS;GIEN;;7.9;11.8;;
BRIARE;TRACY SANCERRE;;8.7;13.0;;
BRIVE LA GAILLARDE;CORRÈZE;;9.0;13.4;;
NIVERSAC;TERRASSON;;9.0;13.4;;
CHAUMONT;CULMONT CHALINDREY;;9.3;13.9;;
ST-JUST-EN-CHAUSSÉE;LONGUEAU;;9.3;13.9;;
VERNON;OISSEL;;9.6;14.4;;
ALÈS;NÎMES;;9.9;14.9;;
LANGEAC;LANGOGNE;;12.9;19.3;;
VIERZON;CHATEAUNEUF SUR CHER;;13.2;19.8;;
LONGUEAU;RUE;;13.8;20.7;;
