dep;arr;Prix.d.appel.2nde;Plein.Tarif.Loisir.2nde;X1ère.classe
BOURGSTMAURICE;ALBERTVILLE;0;18.5;26.5
MORCENX;STJEANDELUZCIBOURE;0;19;27
RIVES;LYONPARTDIEU;0;18.5;31
VENDOMEVILLIERSSURLOIR;STPIERREDESCORPS;0;18.5;33
MONTBARD;MOUCHARD;0;20;25
MENTON;STRAPHAELVALESCURE;0;19.5;27
DUNKERQUE;LENS;0;20.5;29
STRASBOURG;MULHOUSEVILLE;0;21.5;35
LAMBALLE;VITRE;0;24;36
CULOZ;MACONLOCHETGV;0;24.5;36
BREAUTEBEUZEVILLE;MANTESLAJOLIE;0;28.5;42
VILLENEUVELESAVIGNONS;AGDE;0;29;43
VALOGNES;LISIEUX;0;30;43
ROSPORDEN;REDON;0;30;43
MONTPELLIER;PERPIGNAN;0;31;44
MARSEILLESTCHARLES;ANTIBES;0;36;52
MONTELIMAR;SETE;0;37;52
VILLENEUVELESAVIGNONS;HYERES;0;37;52
RENNES;ROSPORDEN;0;39;57
MACONLOCHETGV;EVIANLESBAINS;0;40;57
IRUN;BORDEAUXSTJEAN;0;41;60
LEHAVRE;MASSYPALAISEAU;0;41;60
BORDEAUXSTJEAN;TOULOUSEMATABIAU;15;41;62
NANTES;QUIMPER;0;43;62
LYONSTEXUPERY;NEUFCHATEAU;20;54;87
HENDAYE;ANGOULEME;0;57;82
METZVILLE;MACONLOCHETGV;0;62;88
BIARRITZ;POITIERS;0;66;95
MARMANDE;STPIERREDESCORPS;0;69;101
VENDOME;STPIERREDESCORPS;0;18.5;31
CULOZ;CANNES;0;98;143
NIMES;PARISNORD;25;114;160
AVIGNON;MASSYPALAISEAU;25;116;162
