GUINGAMP;PARIS MONTPARNASSE 1 ET 2;20;98;137
PAU;PARIS MONTPARNASSE 1 ET 2;25;123;173
MARNE LA VALLEE CHESSY;REDON;20;94;136
AIX EN PROVENCE TGV;AVIGNON TGV;0;30;44
LYON PERRACHE;MONTELIMAR;0;35;47
LAROCHE MIGENNES;LE CREUSOT MONTCEAU MONTCHANIN;0;46;60
VALENCE;SETE;15;54;78
LILLE FLANDRES;MASSY TGV;15;63;82
VALENCE TGV;ANTIBES;20;72;102
VALENCE TGV;VENTIMIGLIA STAZIONE  (IT);20;72;102
BELLEGARDE;LES ARCS DRAGUIGNAN;25;84;123
LYON PART DIEU;ANTIBES;25;86;121
CANNES;LYON ST EXUPERY;25;86;121
BEAUNE;SETE;20;84;124
BORDEAUX ST JEAN;PARIS MONTPARNASSE 3 VAUGIRARD;0;96;126
CARCASSONNE;BEAUNE;25;84;124
LE CROISIC;TGV HAUTE PICARDIE;25;98;124
PORNICHET;LE CREUSOT MONTCEAU MONTCHANIN;0;107;140
MARSEILLE ST CHARLES;SENS;25;105;148
AGEN;MACON VILLE;25;109;147
LE MANS;VALENCE;25;113;148
SAUMUR;VALENCE;25;116;151
MODANE;TGV HAUTE PICARDIE;25;119;156
ANGERS ST LAUD;MOUTIERS SALINS BRIDES;25;120;161
GUINGAMP;LYON PART DIEU;25;122;156
VALENCE TGV;DOUAI;25;127;159
LILLE EUROPE;MORLAIX;25;125;161
LILLE EUROPE;ANNEMASSE;0;127;167
DUNKERQUE;CHAMBERY CHALLES LES EAUX;25;127;167
NANTES;MOUTIERS SALINS BRIDES;25;127;167
NANTES;ALBERTVILLE;25;127;167
RENNES;SALLANCHES COMBLOUX MEGEVE;25;132;170
LAVAL;MARSEILLE ST CHARLES;25;133;173
CLUSES  74;VANNES;30;137;179
LANDRY;ST BRIEUC;30;137;179
ST BRIEUC;ALBERTVILLE;30;137;179
LILLE FLANDRES;AGEN;30;144;174
DAX;LILLE FLANDRES;30;144;174
ANGERS ST LAUD;LYON PERRACHE;25;99;140
LAVAL;LYON PART DIEU;25;99;140
LYON PART DIEU;ST PIERRE DES CORPS;25;97;135
FUTUROSCOPE;ST PIERRE DES CORPS;0;20.5;29.5
ROSPORDEN;VITRE;0;45;66
LE MANS;BREST;0;69;98
MASSY TGV;ST MALO;20;95;138
MARNE LA VALLEE CHESSY;AURAY;20;100;140
ST MAIXENT DEUX SEVRES;NIORT;0;7.6;11
BREAUTE BEUZEVILLE;YVETOT;0;7.9;11.3
BEZIERS;NARBONNE;0;8.2;13
LE CROISIC;ST NAZAIRE;0;8.7;12.6
GROISY THORENS LA CAILLE;BONNEVILLE;0;9.3;13.7
ANCENIS;NANTES;0;9.6;14.3
ARRAS;BETHUNE;0;10.6;15.5
RETHEL;CHARLEVILLE MEZIERES;0;11.9;18
ANTIBES;ST RAPHAEL VALESCURE;0;12.1;18.5
LIMOGES BENEDICTINS;LA SOUTERRAINE;0;14.7;21.5
CHAMBERY CHALLES LES EAUX;ST JEAN DE MAURIENNE ARVAN;0;15.5;22.5
LUNEVILLE;SAVERNE;0;17.5;25.5
CULOZ;LYON PART DIEU;0;18;26.5
AIX EN PROVENCE TGV;TOULON;0;18;27
BOURG ST MAURICE;ALBERTVILLE;0;18.5;26.5
MORCENX;ST JEAN DE LUZ CIBOURE;0;19;27
RIVES;LYON PART DIEU;0;18.5;31
VENDOME VILLIERS SUR LOIR;ST PIERRE DES CORPS;0;18.5;33
MONTBARD;MOUCHARD;0;20;25
MENTON;ST RAPHAEL VALESCURE;0;19.5;27
DUNKERQUE;LENS;0;20.5;29
STRASBOURG;MULHOUSE VILLE;0;21.5;35
LAMBALLE;VITRE;0;24;36
CULOZ;MACON LOCHE TGV;0;24.5;36
BREAUTE BEUZEVILLE;MANTES LA JOLIE;0;28.5;42
VILLENEUVE LES AVIGNONS;AGDE;0;29;43
VALOGNES;LISIEUX;0;30;43
ROSPORDEN;REDON;0;30;43
MONTPELLIER;PERPIGNAN;0;31;44
MARSEILLE ST CHARLES;ANTIBES;0;36;52
MONTELIMAR;SETE;0;37;52
VILLENEUVE LES AVIGNONS;HYERES;0;37;52
RENNES;ROSPORDEN;0;39;57
