Origine;Destination ;Prix d'appel 2nde;Plein Tarif 2nde;Plein Tarif 1ère
NIMES;MARSEILLE ST CHARLES;;24.0;37.5
LIMOGES BENEDICTINS;CARCASSONNE;20.0;58.0;89.0
ARGELES SUR MER;CASTELNAUDARY;10.0;31.0;47.0
PERPIGNAN;NARBONNE;;14.6;22.0
VIERZON VILLE;TOULOUSE MATABIAU;15.0;69.0;107.0
PARIS GARE DE LYON;BANYULS SUR MER;25.0;109.0;170.0
PARIS AUSTERLITZ;BANYULS SUR MER;25.0;109.0;170.0
ARGENTON SUR CREUSE;CAHORS;15.0;47.0;74.0
BORDEAUX ST JEAN;ANTIBES;20.0;104.0;159.0
PARIS GARE DE LYON;MONTAUBAN VILLE BOURBON;15.0;82.0;126.0
LES AUBRAIS ORLEANS;NARBONNE;25.0;90.0;141.0
ARGELES SUR MER;LES AUBRAIS ORLEANS;25.0;100.0;153.0
NICE VILLE;LES ARCS DRAGUIGNAN;;18.5;28.5
CAUSSADE TARN ET GARONNE;COLLIOURE;15.0;48.0;75.0
LIMOGES BENEDICTINS;ISSOUDUN;10.0;30.0;45.0
UZERCHE;ELNE;20.0;66.0;103.0
CLERMONT FERRAND;VICHY;;12.9;20.0
ARLES;MONTAUBAN VILLE BOURBON;15.0;55.0;87.0
ARGELES SUR MER;SOUILLAC;20.0;58.0;90.0
ANTIBES;TOULOUSE MATABIAU;20.0;80.0;123.0
NICE VILLE;ST RAPHAEL VALESCURE;;14.6;22.5
GOURDON;SOUILLAC;;7.0;12.4
BORDEAUX ST JEAN;CARCASSONNE;15.0;51.0;80.0
PORT VENDRES VILLE;CAHORS;15.0;52.0;81.0
AGEN;CARCASSONNE;15.0;35.0;53.0
LES AUBRAIS ORLEANS;BANYULS SUR MER;25.0;101.0;154.0
LIMOGES BENEDICTINS;ARGELES SUR MER;25.0;73.0;111.0
PERPIGNAN;BANYULS SUR MER;;9.7;15.5
BRIVE LA GAILLARDE;PARIS AUSTERLITZ;15.0;71.0;106.0
NEVERS;PARIS BERCY;15.0;41.0;62.0
ELNE;PARIS BERCY;25.0;108.0;166.0
LIMOGES BENEDICTINS;GOURDON;10.0;29.0;44.0
ARGELES SUR MER;VIERZON VILLE;25.0;91.0;142.0
RIOM CHATEL GUYON;VICHY;;10.8;17.0
BRIVE LA GAILLARDE;PORT VENDRES VILLE;20.0;64.0;98.0
CASTELNAUDARY;PERPIGNAN;10.0;27.5;43.0
LIMOGES BENEDICTINS;CAUSSADE TARN ET GARONNE;10.0;39.5;61.0
ARGELES SUR MER;CAUSSADE TARN ET GARONNE;15.0;47.0;74.0
CERBERE;CAHORS;15.0;53.0;83.0
MONTAUBAN VILLE BOURBON;CAHORS;;14.6;22.0
PARIS AUSTERLITZ;TOULOUSE MATABIAU;15.0;86.0;130.0
NICE VILLE;TOULON;10.0;27.5;43.0
CAUSSADE TARN ET GARONNE;TOULOUSE MATABIAU;;16.5;24.5
PARIS AUSTERLITZ;MONTAUBAN VILLE BOURBON;15.0;82.0;126.0
CARCASSONNE;MARSEILLE ST CHARLES;15.0;50.0;78.0
MONTPELLIER;MARMANDE;20.0;61.0;92.0
BRIVE LA GAILLARDE;CERBERE;20.0;65.0;101.0
CASTELNAUDARY;CERBERE;10.0;33.5;51.0
GOURDON;CERBERE;20.0;58.0;90.0
GOURDON;CAUSSADE TARN ET GARONNE;;17.5;26.0
PARIS GARE DE LYON;RIOM CHATEL GUYON;15.0;61.0;91.0
PARIS GARE DE LYON;SOUILLAC;15.0;72.0;109.0
LA SOUTERRAINE;SOUILLAC;10.0;32.5;50.0
PARIS AUSTERLITZ;ST GERMAIN DES FOSSES;15.0;54.0;83.0
ISSOUDUN;SOUILLAC;15.0;46.0;72.0
ELNE;COLLIOURE;;4.8;7.6
LIMOGES BENEDICTINS;MONTAUBAN VILLE BOURBON;15.0;42.0;65.0
BEZIERS;MONTAUBAN VILLE BOURBON;10.0;37.0;57.0
NIMES;MONTAUBAN VILLE BOURBON;15.0;51.0;80.0
ST GERMAIN DES FOSSES;MOULINS SUR ALLIER;;10.8;17.0
CERBERE;NARBONNE;;20.5;32.0
CARCASSONNE;SETE;;24.0;38.0
BRIVE LA GAILLARDE;PARIS GARE DE LYON;15.0;71.0;106.0
BANYULS SUR MER;TOULOUSE MATABIAU;10.0;39.5;62.0
COLLIOURE;TOULOUSE MATABIAU;10.0;38.5;60.0
AGEN;TOULOUSE MATABIAU;;23.0;36.0
AGEN;BEZIERS;15.0;45.0;70.0
AGEN;BORDEAUX ST JEAN;;25.0;39.0
CERBERE;VIERZON VILLE;25.0;92.0;144.0
ST GERMAIN DES FOSSES;VICHY;;3.8;6.0
TOULON;TOULOUSE MATABIAU;20.0;68.0;105.0
SALBRIS;VIERZON VILLE;;7.0;11.3
CHATEAUROUX;PARIS AUSTERLITZ;15.0;42.0;64.0
BEZIERS;NIMES;;23.0;36.0
LIMOGES BENEDICTINS;COLLIOURE;25.0;73.0;112.0
PARIS AUSTERLITZ;CERBERE;25.0;110.0;171.0
UZERCHE;CHATEAUROUX;10.0;32.5;50.0
LIMOGES BENEDICTINS;CHATEAUROUX;;25.5;41.0
BRIVE LA GAILLARDE;GOURDON;;14.1;21.5
ARGELES SUR MER;ELNE;;3.3;6.0
UZERCHE;LIMOGES BENEDICTINS;;14.1;21.5
BORDEAUX ST JEAN;CANNES;20.0;103.0;158.0
GOURDON;BANYULS SUR MER;20.0;57.0;89.0
LIMOGES BENEDICTINS;PORT VENDRES VILLE;25.0;73.0;112.0
LIMOGES BENEDICTINS;PARIS AUSTERLITZ;15.0;61.0;90.0
LES AUBRAIS ORLEANS;PERPIGNAN;25.0;97.0;150.0
NEVERS;PARIS GARE DE LYON;15.0;41.0;62.0
CERBERE;PORT VENDRES VILLE;;4.3;7.0
ELNE;PORT VENDRES VILLE;;5.3;8.6
GOURDON;NARBONNE;15.0;47.0;74.0
CHATEAUROUX;MONTAUBAN VILLE BOURBON;15.0;57.0;88.0
AGEN;MONTAUBAN VILLE BOURBON;;15.5;24.0
MARSEILLE ST CHARLES;ST RAPHAEL VALESCURE;10.0;28.5;44.0
PARIS AUSTERLITZ;SOUILLAC;15.0;72.0;109.0
CASTELNAUDARY;SOUILLAC;10.0;38.0;58.0
CHATEAUROUX;ST SEBASTIEN;;14.1;21.5
BORDEAUX ST JEAN;TOULON;20.0;91.0;142.0
NARBONNE;SETE;;15.5;24.0
MONTAUBAN VILLE BOURBON;PORT VENDRES VILLE;15.0;45.0;70.0
CASTELNAUDARY;PORT VENDRES VILLE;10.0;31.5;48.0
PARIS BERCY;RIOM CHATEL GUYON;15.0;61.0;91.0
CLERMONT FERRAND;PARIS BERCY;15.0;61.0;91.0
CHATEAUROUX;PARIS BERCY;15.0;42.0;64.0
UZERCHE;PERPIGNAN;20.0;65.0;101.0
BRIVE LA GAILLARDE;MONTAUBAN VILLE BOURBON;10.0;28.5;44.0
LA SOUTERRAINE;MONTAUBAN VILLE BOURBON;15.0;48.0;76.0
CARCASSONNE;CERBERE;10.0;28.5;44.0
PERPIGNAN;CERBERE;;11.3;17.5
UZERCHE;ISSOUDUN;10.0;36.5;55.0
ISSOUDUN;LES AUBRAIS ORLEANS;;22.5;35.0
PARIS AUSTERLITZ;VIERZON VILLE;15.0;33.5;51.0
COLLIOURE;VIERZON VILLE;25.0;91.0;142.0
ST SULPICE LAURIERE;VIERZON VILLE;10.0;29.0;45.0
SOUILLAC;TOULOUSE MATABIAU;10.0;31.0;47.0
LES AUBRAIS ORLEANS;CAHORS;20.0;66.0;103.0
CASTELNAUDARY;BANYULS SUR MER;10.0;32.0;49.0
NARBONNE;CAHORS;15.0;42.0;64.0
ISSOUDUN;ARGENTON SUR CREUSE;;14.1;21.5
UZERCHE;ALLASSAC;;7.0;11.9
ARGENTON SUR CREUSE;PARIS GARE DE LYON;15.0;45.0;70.0
PARIS GARE DE LYON;MOULINS SUR ALLIER;15.0;49.0;75.0
AVIGNON;NARBONNE;10.0;32.5;49.0
GOURDON;LA SOUTERRAINE;10.0;36.5;54.0
ST SEBASTIEN;LA SOUTERRAINE;;6.0;9.7
ISSOUDUN;LA SOUTERRAINE;;21.0;32.5
ARGENTON SUR CREUSE;GOURDON;15.0;42.0;65.0
UZERCHE;GOURDON;;20.0;31.0
LIMOGES BENEDICTINS;CASTELNAUDARY;15.0;53.0;83.0
PARIS GARE DE LYON;CERBERE;25.0;110.0;171.0
AVIGNON;CARCASSONNE;10.0;39.5;62.0
CASTELNAUDARY;CAUSSADE TARN ET GARONNE;;24.0;37.5
CARCASSONNE;VIERZON VILLE;25.0;78.0;120.0
ARGENTON SUR CREUSE;VIERZON VILLE;;19.0;30.0
ISSOUDUN;MONTAUBAN VILLE BOURBON;20.0;61.0;92.0
BEZIERS;MARMANDE;15.0;52.0;81.0
SOUILLAC;PORT VENDRES VILLE;20.0;60.0;92.0
PERPIGNAN;TOULOUSE MATABIAU;10.0;35.0;53.0
BEZIERS;TOULOUSE MATABIAU;10.0;31.0;47.0
LIMOGES BENEDICTINS;PARIS GARE DE LYON;15.0;61.0;90.0
LA SOUTERRAINE;PARIS GARE DE LYON;15.0;51.0;79.0
NEVERS;PARIS AUSTERLITZ;15.0;41.0;62.0
ARGELES SUR MER;CAHORS;15.0;51.0;80.0
VIERZON VILLE;CAHORS;15.0;57.0;89.0
UZERCHE;CAHORS;;25.5;41.0
BORDEAUX ST JEAN;BEZIERS;20.0;62.0;95.0
CANNES;ANTIBES;;3.8;6.5
CAUSSADE TARN ET GARONNE;PARIS AUSTERLITZ;15.0;80.0;123.0
ARGENTON SUR CREUSE;PARIS AUSTERLITZ;15.0;45.0;70.0
CLERMONT FERRAND;PARIS AUSTERLITZ;20.0;61.0;91.0
CARCASSONNE;PARIS GARE DE LYON;20.0;97.0;150.0
LES AUBRAIS ORLEANS;PARIS BERCY;;23.5;37.0
BANYULS SUR MER;MONTAUBAN VILLE BOURBON;15.0;46.0;72.0
PARIS GARE DE LYON;NARBONNE;20.0;102.0;157.0
CAUSSADE TARN ET GARONNE;ELNE;15.0;46.0;72.0
CASTELNAUDARY;GOURDON;10.0;34.5;53.0
CERBERE;COLLIOURE;;4.8;8.1
LES AUBRAIS ORLEANS;PORT VENDRES VILLE;25.0;100.0;154.0
PARIS AUSTERLITZ;PORT VENDRES VILLE;25.0;109.0;168.0
ST SEBASTIEN;PARIS GARE DE LYON;15.0;48.0;76.0
ST SEBASTIEN;PARIS AUSTERLITZ;15.0;48.0;76.0
UZERCHE;CASTELNAUDARY;15.0;47.0;75.0
