trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008985F2602611524,18:43:00,18:43:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F2602611524,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F2602611524,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F2602611524,20:50:00,21:04:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F2602611524,21:43:00,21:46:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F2602611524,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008985F27027-2229113851,18:42:00,18:42:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F27027-2229113851,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F27027-2229113851,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F27027-2229113851,20:50:00,20:50:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008973F1401486547,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008973F1401486547,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008973F1401486547,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008973F1401486547,11:54:00,12:05:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008973F1401486547,12:44:00,12:47:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008973F1401486547,13:13:00,13:13:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008827F14014~TGF114627,21:01:00,21:01:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008827F14014~TGF114627,22:23:00,22:34:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008827F14014~TGF114627,23:12:00,23:12:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008137F0600686622,20:43:00,20:43:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008137F0600686622,22:05:00,22:08:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008137F0600686622,22:45:00,22:45:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008817F12012~TGF114361,17:21:00,17:21:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008817F12012~TGF114361,19:19:00,19:19:00,StopPoint:OCETGV INOUI-87481002,1,"",0,0,
OCESN008827F11011~TGF114628,21:48:00,21:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008827F11011~TGF114628,23:10:00,23:13:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008827F11011~TGF114628,23:50:00,23:50:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008821F14014~TGF114542,18:20:00,18:20:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
